symbol,date,price
B&E,Jan 2000,1394.46
B&E,Feb 2000,1366.42
B&E,Mar 2000,1498.58
B&E,Apr 2000,1452.43
B&E,May 2000,1420.6
B&E,Jun 2000,1454.6
B&E,Jul 2000,1430.83
B&E,Aug 2000,1517.68
B&E,Sep 2000,1436.51
B&E,Oct 2000,1429.4
B&E,Nov 2000,1314.95
B&E,Dec 2000,1320.28
B&E,Jan 2001,1366.01
B&E,Feb 2001,1239.94
B&E,Mar 2001,1160.33
B&E,Apr 2001,1249.46
B&E,May 2001,1255.82
B&E,Jun 2001,1224.38
B&E,Jul 2001,1211.23
B&E,Aug 2001,1133.58
B&E,Sep 2001,1040.94
B&E,Oct 2001,1059.78
B&E,Nov 2001,1139.45
B&E,Dec 2001,1148.08
B&E,Jan 2002,1130.2
B&E,Feb 2002,1106.73
B&E,Mar 2002,1147.39
B&E,Apr 2002,1076.92
B&E,May 2002,1067.14
B&E,Jun 2002,989.82
B&E,Jul 2002,911.62
B&E,Aug 2002,916.07
B&E,Sep 2002,815.28
B&E,Oct 2002,885.76
B&E,Nov 2002,936.31
B&E,Dec 2002,879.82
B&E,Jan 2003,855.7
B&E,Feb 2003,841.15
B&E,Mar 2003,848.18
B&E,Apr 2003,916.92
B&E,May 2003,963.59
B&E,Jun 2003,974.5
B&E,Jul 2003,990.31
B&E,Aug 2003,1008.01
B&E,Sep 2003,995.97
B&E,Oct 2003,1050.71
B&E,Nov 2003,1058.2
B&E,Dec 2003,1111.92
B&E,Jan 2004,1131.13
B&E,Feb 2004,1144.94
B&E,Mar 2004,1126.21
B&E,Apr 2004,1107.3
B&E,May 2004,1120.68
B&E,Jun 2004,1140.84
B&E,Jul 2004,1101.72
B&E,Aug 2004,1104.24
B&E,Sep 2004,1114.58
B&E,Oct 2004,1130.2
B&E,Nov 2004,1173.82
B&E,Dec 2004,1211.92
B&E,Jan 2005,1181.27
B&E,Feb 2005,1203.6
B&E,Mar 2005,1180.59
B&E,Apr 2005,1156.85
B&E,May 2005,1191.5
B&E,Jun 2005,1191.33
B&E,Jul 2005,1234.18
B&E,Aug 2005,1220.33
B&E,Sep 2005,1228.81
B&E,Oct 2005,1207.01
B&E,Nov 2005,1249.48
B&E,Dec 2005,1248.29
B&E,Jan 2006,1280.08
B&E,Feb 2006,1280.66
B&E,Mar 2006,1294.87
B&E,Apr 2006,1310.61
B&E,May 2006,1270.09
B&E,Jun 2006,1270.2
B&E,Jul 2006,1276.66
B&E,Aug 2006,1303.82
B&E,Sep 2006,1335.85
B&E,Oct 2006,1377.94
B&E,Nov 2006,1400.63
B&E,Dec 2006,1418.3
B&E,Jan 2007,1438.24
B&E,Feb 2007,1406.82
B&E,Mar 2007,1420.86
B&E,Apr 2007,1482.37
B&E,May 2007,1530.62
B&E,Jun 2007,1503.35
B&E,Jul 2007,1455.27
B&E,Aug 2007,1473.99
B&E,Sep 2007,1526.75
B&E,Oct 2007,1549.38
B&E,Nov 2007,1481.14
B&E,Dec 2007,1468.36
B&E,Jan 2008,1378.55
B&E,Feb 2008,1330.63
B&E,Mar 2008,1322.7
B&E,Apr 2008,1385.59
B&E,May 2008,1400.38
B&E,Jun 2008,1280
B&E,Jul 2008,1267.38
B&E,Aug 2008,1282.83
B&E,Sep 2008,1166.36
B&E,Oct 2008,968.75
B&E,Nov 2008,896.24
B&E,Dec 2008,903.25
B&E,Jan 2009,825.88
B&E,Feb 2009,735.09
B&E,Mar 2009,797.87
B&E,Apr 2009,872.81
B&E,May 2009,919.14
B&E,Jun 2009,919.32
B&E,Jul 2009,987.48
B&E,Aug 2009,1020.62
B&E,Sep 2009,1057.08
B&E,Oct 2009,1036.19
B&E,Nov 2009,1095.63
B&E,Dec 2009,1115.1
B&E,Jan 2010,1073.87
B&E,Feb 2010,1104.49
B&E,Mar 2010,1140.45
Robbery,Jan 2000,39.81
Robbery,Feb 2000,36.35
Robbery,Mar 2000,43.22
Robbery,Apr 2000,28.37
Robbery,May 2000,25.45
Robbery,Jun 2000,32.54
Robbery,Jul 2000,28.4
Robbery,Aug 2000,28.4
Robbery,Sep 2000,24.53
Robbery,Oct 2000,28.02
