"_id","TIMESTAMP","SHORT_DESC","LONG_DESC","TYPE","LEVEL"
"1","Sep 7, 2017 7:18:10 PM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"newschool"
"<br> •BSSID: 6c:f3:7f:68:22:70<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: -1216405611<br>","wifi","info"
"2","Sep 7, 2017 7:18:11 PM","App Started/Resumed: [Event Logger]","Application 'Event Logger'[rs.pedjaapps.eventlogger] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"3","Sep 7, 2017 7:19:54 PM","App Started/Resumed: [Voice]","Application 'Voice'[com.google.android.apps.googlevoice] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"4","Sep 7, 2017 7:20:29 PM","App Started/Resumed: [Launcher]","Application 'Launcher'[com.android.launcher] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"5","Sep 7, 2017 7:20:58 PM","Screen Turned Off","Screen has been turned off.","screen","info"
"6","Sep 7, 2017 7:21:58 PM","Screen Turned On","Screen has been turned on.","screen","info"
"7","Sep 7, 2017 7:22:00 PM","Screen Unlocked","User has unlocked the device.","screen","info"
"8","Sep 7, 2017 7:22:04 PM","App Started/Resumed: [System UI]","Application 'System UI'[com.android.systemui] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"9","Sep 7, 2017 7:22:06 PM","App Started/Resumed: [Event Logger]","Application 'Event Logger'[rs.pedjaapps.eventlogger] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"10","Sep 7, 2017 7:22:19 PM","App Started/Resumed: [Launcher]","Application 'Launcher'[com.android.launcher] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"11","Sep 7, 2017 7:22:50 PM","Screen Turned Off","Screen has been turned off.","screen","info"
"12","Sep 7, 2017 7:25:26 PM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"newschool"
"<br> •BSSID: 6c:f3:7f:68:22:70<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: -1216405611<br>","wifi","info"
"13","Sep 7, 2017 7:45:04 PM","Screen Turned On","Screen has been turned on.","screen","info"
"14","Sep 7, 2017 7:45:08 PM","Screen Unlocked","User has unlocked the device.","screen","info"
"15","Sep 7, 2017 7:45:12 PM","Volume Changed [0]","Media Volume has changed from 15 to 0","volume","info"
"16","Sep 7, 2017 7:45:45 PM","Screen Turned Off","Screen has been turned off.","screen","info"
